ad_id,xyz_campaign_id,fb_campaign_id,age,gender,interest,Impressions,Clicks,Spent,Total_Conversion,Approved_Conversion,CTR,CPC,CPM
708746,916,103916,30-34,M,15,7350,1,1.43,2,1,0.00013605,1.43,0.000195
708749,916,103917,30-34,M,16,17861,2,1.82,2,0,0.00011198,0.91,0.000102
708771,916,103920,30-34,M,20,693,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
708815,916,103928,30-34,M,28,4259,1,1.25,1,0,0.00023480,1.25,0.000293
708818,916,103928,30-34,M,28,4133,1,1.29,1,1,0.00024195,1.29,0.000312
708820,916,103929,30-34,M,29,1915,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
708889,916,103940,30-34,M,15,15615,3,4.77,1,0,0.00019212,1.59,0.000305
708895,916,103941,30-34,M,16,10951,1,1.27,1,1,0.00009132,1.27,0.000116
708953,916,103951,30-34,M,27,2355,1,1.50,1,0,0.00042463,1.50,0.000637
708958,916,103952,30-34,M,28,9502,3,3.16,1,0,0.00031572,1.05,0.000333
708979,916,103955,30-34,M,31,1224,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
709023,916,103962,30-34,M,7,735,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
709038,916,103965,30-34,M,16,5117,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
709040,916,103965,30-34,M,16,5120,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
709059,916,103968,30-34,M,20,14669,7,10.28,1,1,0.00047720,1.47,0.000701
709105,916,103976,30-34,M,28,1241,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
709115,916,103978,30-34,M,30,2305,1,0.57,1,0,0.00043384,0.57,0.000247
709124,916,103979,30-34,M,31,1024,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
709179,916,103988,35-39,M,15,4627,1,1.69,1,0,0.00021612,1.69,0.000365
709183,916,103989,35-39,M,16,21026,4,4.63,2,1,0.00019024,1.16,0.000220
709320,916,104012,35-39,M,15,1422,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
709323,916,104012,35-39,M,15,7132,2,2.61,1,0,0.00028043,1.30,0.000366
709326,916,104013,35-39,M,16,12190,2,3.05,1,0,0.00016407,1.52,0.000250
709327,916,104013,35-39,M,16,12193,2,3.06,1,1,0.00016403,1.53,0.000251
709328,916,104013,35-39,M,16,3332,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
709455,916,104034,35-39,M,7,559,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
709544,916,104049,35-39,M,29,7440,2,2.98,1,1,0.00026882,1.49,0.000401
709614,916,104061,40-44,M,16,19113,4,5.52,1,0,0.00020928,1.38,0.000289
709756,916,104085,40-44,M,16,10976,2,1.69,1,1,0.00018222,0.85,0.000154
709761,916,104085,40-44,M,16,2861,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
709899,916,104108,40-44,M,15,1398,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
709901,916,104109,40-44,M,16,23817,7,8.47,1,1,0.00029391,1.21,0.000356
710045,916,104133,45-49,M,16,47224,12,15.82,1,0,0.00025411,1.32,0.000335
710088,916,104140,45-49,M,24,2283,1,1.47,1,0,0.00043802,1.47,0.000644
710360,916,104185,45-49,M,21,2182,1,1.53,1,1,0.00045830,1.53,0.000701
710477,916,104205,30-34,F,16,2654,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
710480,916,104205,30-34,F,16,57665,14,18.07,1,1,0.00024278,1.29,0.000313
710571,916,104220,30-34,F,32,3091,1,1.61,1,1,0.00032352,1.61,0.000521
710617,916,104228,30-34,F,15,5014,1,1.19,1,0,0.00019944,1.19,0.000237
710623,916,104229,30-34,F,16,38726,7,9.22,1,0,0.00018076,1.32,0.000238
710628,916,104230,30-34,F,18,1473,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
710682,916,104239,30-34,F,27,1186,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
710763,916,104252,30-34,F,15,5369,1,1.51,1,0,0.00018625,1.51,0.000281
710836,916,104265,30-34,F,29,22221,7,9.43,1,1,0.00031502,1.35,0.000424
710867,916,104270,30-34,F,63,1185,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
710880,916,104272,30-34,F,65,13019,5,6.96,1,0,0.00038405,1.39,0.000535
710961,916,104285,35-39,F,25,2508,1,1.22,1,0,0.00039872,1.22,0.000486
710968,916,104287,35-39,F,27,5864,2,2.80,1,1,0.00034106,1.40,0.000477
711217,916,104328,35-39,F,20,2783,1,1.60,1,0,0.00035932,1.60,0.000575
711623,916,104396,40-44,F,15,3812,1,1.13,2,1,0.00026233,1.13,0.000296
711764,916,104419,45-49,F,10,11199,4,5.73,1,1,0.00035717,1.43,0.000512
711785,916,104423,45-49,F,19,292,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
711877,916,104438,45-49,F,63,17572,7,9.38,1,0,0.00039836,1.34,0.000534
712052,916,104467,45-49,F,10,1448,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
734209,936,108654,30-34,M,10,1772,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
734210,936,108654,30-34,M,10,13329,4,5.63,1,1,0.00030010,1.41,0.000422
734215,936,108655,30-34,M,15,13659,3,3.84,1,0,0.00021964,1.28,0.000281
734243,936,108660,30-34,M,21,739,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
734266,936,108664,30-34,M,25,605,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734272,936,108665,30-34,M,26,1030,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734290,936,108668,30-34,M,29,5374,1,1.04,4,0,0.00018608,1.04,0.000194
734313,936,108672,30-34,M,36,790,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
734314,936,108672,30-34,M,36,962,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734352,936,108678,35-39,M,10,4423,1,1.46,1,1,0.00022609,1.46,0.000330
734361,936,108680,35-39,M,16,12382,2,2.84,1,1,0.00016152,1.42,0.000229
734381,936,108683,35-39,M,20,2938,1,1.35,1,1,0.00034037,1.35,0.000459
734399,936,108686,35-39,M,23,239,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734418,936,108689,35-39,M,26,591,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734421,936,108690,35-39,M,27,10332,4,5.75,1,0,0.00038715,1.44,0.000557
734427,936,108691,35-39,M,28,8259,3,3.98,1,0,0.00036324,1.33,0.000482
734433,936,108692,35-39,M,29,12158,3,4.45,1,0,0.00024675,1.48,0.000366
734582,936,108716,40-44,M,29,7709,2,1.32,2,0,0.00025944,0.66,0.000171
734605,936,108720,40-44,M,36,834,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734660,936,108729,45-49,M,18,1299,0,0.00,2,0,0.00000000,#DIV/0!,0.000000
734666,936,108730,45-49,M,19,371,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734726,936,108740,45-49,M,29,10466,3,4.09,1,0,0.00028664,1.36,0.000391
734737,936,108742,45-49,M,31,839,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734785,936,108750,30-34,F,10,5576,1,1.53,1,1,0.00017934,1.53,0.000274
734794,936,108752,30-34,F,16,4010,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734796,936,108752,30-34,F,16,39337,7,10.03,1,1,0.00017795,1.43,0.000255
734800,936,108753,30-34,F,18,1635,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734803,936,108753,30-34,F,18,1631,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734852,936,108761,30-34,F,26,13479,3,4.25,1,0,0.00022257,1.42,0.000315
734854,936,108762,30-34,F,27,57022,13,20.29,3,3,0.00022798,1.56,0.000356
734856,936,108762,30-34,F,27,5453,1,1.39,1,1,0.00018339,1.39,0.000255
734866,936,108764,30-34,F,29,11803,3,4.44,1,0,0.00025417,1.48,0.000376
734881,936,108766,30-34,F,31,4259,1,1.57,1,1,0.00023480,1.57,0.000369
734901,936,108770,30-34,F,64,1554,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
734903,936,108770,30-34,F,64,5323,1,1.29,1,1,0.00018786,1.29,0.000242
734925,936,108774,35-39,F,10,5024,1,1.41,1,1,0.00019904,1.41,0.000281
734939,936,108776,35-39,F,16,104648,24,33.33,4,2,0.00022934,1.39,0.000318
734968,936,108781,35-39,F,22,8504,3,3.34,1,1,0.00035278,1.11,0.000393
734999,936,108786,35-39,F,27,20277,6,8.05,1,0,0.00029590,1.34,0.000397
735014,936,108788,35-39,F,29,12403,4,5.21,1,1,0.00032250,1.30,0.000420
735032,936,108791,35-39,F,32,498,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
735033,936,108792,35-39,F,36,652,0,0.00,0,0,0.00000000,#DIV/0!,0.000000
735043,936,108793,35-39,F,63,1357,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
735048,936,108794,35-39,F,64,1393,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
735065,936,108797,40-44,F,7,648,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
735109,936,108804,40-44,F,21,708,0,0.00,1,1,0.00000000,#DIV/0!,0.000000
735140,936,108809,40-44,F,26,6907,2,2.35,1,0,0.00028956,1.17,0.000340
735143,936,108810,40-44,F,27,39035,13,19.33,1,0,0.00033303,1.49,0.000495
735151,936,108811,40-44,F,28,926,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
735184,936,108817,40-44,F,63,4412,1,1.45,1,0,0.00022665,1.45,0.000329
735189,936,108818,40-44,F,64,9965,3,4.05,1,0,0.00030105,1.35,0.000406
735213,936,108822,45-49,F,10,73634,23,32.98,1,0,0.00031236,1.43,0.000448
735220,936,108823,45-49,F,15,69708,20,31.29,1,0,0.00028691,1.56,0.000449
735242,936,108826,45-49,F,19,530,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
735247,936,108827,45-49,F,20,14257,6,8.79,1,0,0.00042085,1.46,0.000617
735289,936,108834,45-49,F,27,20362,5,9.12,1,1,0.00024556,1.82,0.000448
735290,936,108834,45-49,F,27,12215,4,6.26,1,0,0.00032747,1.57,0.000512
735298,936,108836,45-49,F,29,85412,28,38.64,2,1,0.00032782,1.38,0.000452
736869,936,109448,30-34,M,2,2338,1,0.24,1,0,0.00042772,0.24,0.000103
736890,936,109451,30-34,M,15,2522,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
736893,936,109452,30-34,M,16,3587,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
736977,936,109470,30-34,M,27,1273,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
736988,936,109472,30-34,M,28,3891,1,1.09,1,0,0.00025700,1.09,0.000280
736995,936,109473,30-34,M,29,1888,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
736997,936,109473,30-34,M,29,1895,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
737097,936,109498,35-39,M,7,715,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
737130,936,109507,35-39,M,16,11199,2,2.68,1,0,0.00017859,1.34,0.000239
737320,936,109553,35-39,M,63,5676,2,3.01,1,0,0.00035236,1.50,0.000530
737375,936,109565,40-44,M,10,1415,0,0.00,1,0,0.00000000,#DIV/0!,0.000000
737524,936,109601,40-44,M,30,2148,1,1.58,1,1,0.00046555,1.58,0.000736
737644,936,109629,45-49,M,16,45401,10,14.06,1,0,0.00022026,1.41,0.000310
